Date,Price,Open,High,Low,Change %
25-Oct-18,1232.23,1234.55,1239.54,1227.84,-0.16%
24-Oct-18,1234.22,1230.52,1234.24,1225.42,0.30%
23-Oct-18,1230.48,1222.15,1239.94,1221.65,0.68%
22-Oct-18,1222.17,1228.06,1229.78,1219.95,-0.34%
19-Oct-18,1226.31,1225.66,1231.01,1222.93,0.05%
18-Oct-18,1225.75,1222.02,1230.51,1218.44,0.25%
17-Oct-18,1222.68,1224.59,1229.82,1220.33,-0.14%
16-Oct-18,1224.43,1227.17,1232.71,1223.35,-0.20%
15-Oct-18,1226.94,1217.44,1233.67,1217.40,0.74%
12-Oct-18,1217.93,1224.24,1224.38,1215.60,-0.52%
11-Oct-18,1224.33,1194.95,1226.51,1191.10,2.47%
10-Oct-18,1194.78,1189.66,1194.98,1185.13,0.43%
9-Oct-18,1189.62,1188.63,1192.19,1183.24,0.14%
8-Oct-18,1188.01,1203.15,1204.31,1183.57,-1.23%
5-Oct-18,1202.85,1199.75,1206.09,1196.99,0.27%
4-Oct-18,1199.66,1197.35,1207.09,1195.77,0.19%
3-Oct-18,1197.37,1203.45,1208.72,1196.55,-0.48%
2-Oct-18,1203.10,1188.86,1208.52,1188.44,1.23%
1-Oct-18,1188.46,1192.19,1192.51,1184.46,-0.30%
28-Sep-18,1192.09,1182.89,1193.95,1180.68,0.79%
27-Sep-18,1182.80,1194.84,1198.96,1181.88,-0.98%
26-Sep-18,1194.46,1201.23,1202.84,1190.41,-0.57%
25-Sep-18,1201.31,1198.84,1203.51,1197.01,0.20%
24-Sep-18,1198.85,1198.31,1204.44,1194.21,-0.06%
21-Sep-18,1199.55,1207.48,1211.39,1191.76,-0.67%
20-Sep-18,1207.58,1203.83,1208.69,1201.07,0.30%
19-Sep-18,1203.98,1198.17,1206.41,1197.64,0.47%
18-Sep-18,1198.35,1201.86,1203.78,1195.76,-0.21%
17-Sep-18,1200.93,1193.18,1205.17,1192.76,0.60%
14-Sep-18,1193.71,1201.76,1208.94,1192.93,-0.64%
13-Sep-18,1201.44,1206.94,1212.90,1199.98,-0.39%
12-Sep-18,1206.19,1198.65,1208.85,1192.51,0.66%
11-Sep-18,1198.29,1195.43,1199.60,1187.57,0.20%
10-Sep-18,1195.88,1195.41,1198.72,1191.40,0.00%
7-Sep-18,1195.85,1199.97,1203.80,1193.19,-0.36%
